,textDisplay
1039,Bro can you please give me ps5 that&#39;s my bream
1040,Bro can you please give me ps5 that&#39;s my bream
1041,Bro can you please give me ps5 that&#39;s my bream
1042,Bro can you please give me ps5 that&#39;s my bream
1043,Bro can you please give me ps5 that&#39;s my bream
1044,Bro can you please give me ps5 that&#39;s my bream
1045,Bro can you please give me ps5 that&#39;s my bream
1046,Bro can you please give me ps5 that&#39;s my bream
1047,Bro can you please give me ps5 that&#39;s my bream
1048,Bro can you please give me ps5 that&#39;s my bream
1049,Bro can you please give me ps5 that&#39;s my bream
1050,Bro can you please give me ps5 that&#39;s my bream
1051,No ps5
1052,Bro can you please give me ps5 that&#39;s my bream
1053,Bro can you give me ps5 that&#39;s my bream pl
1055,God is good and God is great god is good ooo ooaooo
1060,👆⬆️Text you won🎉
1066,👆⬆️Text you won🎉
1071,STUPID SCAM
1074,👆⬆️Text you won🎉
1075,I subbed
1080,Tôi là người việt nam... Bạn có thể qua việt nam làm thử thách k
1082,Hello!!
1086,Me subbed
1087,bro when İ LOOKED YOUR PAST VİDEOS İ SAİD YOU CHANGED                SOOOOOOOO     MUCCCCCCCCCCCCHHHHHHHHHHHH
1088,MrBeast ven a copiapo plis
1090,MrBeast ven a copiapo plis
1091,Mrbeast ven a copiapo queda en chile plis
1097,انا متابعك من مصر انا بحبك عايز اطلع معك في فيديو♥️♥️❤🇺🇸🇺🇸🇪🇬🇪🇬🇪🇬🇪🇬🇪🇬♥️♥️♥️01025775732
1099,انا متابعك من مصر انا بحبك عايز اطلع معك في فيديو♥️♥️❤🇺🇸🇺🇸🇪🇬🇪🇬🇪🇬🇪🇬🇪🇬♥️♥️♥️
1100,Come to Turkey mr beast
1101,Come in India
1102,Come to Turkey mr beast
1103,Come to Turkey
1114,Hello Mr. Beiste My name is Kirill I&#39;m from Russia dreaming of playstation 5 watched all the videos
1124,I love your vids
1126,Я который из россии
1134,لو تنفق اموالك لمساعدة المرضى والمحتاجين في المستشفيات لكان افظل من هذا يا مستر بيست ❤️شكراً لك
1137,Я подписалась на все ваши  каналы😅😋🙈💸
1138,👆⬆️Text you won🎉
1139,Is there no Vietnamese?
1141,👆⬆️Text you won🎉
1142,speed has to be in more mrbeast videos🤣😂
1147,Bro what about your Pakistani fans pls launch your burger 🍔 and chocolate 🍫shop pls
1149,👆⬆️Text you won🎉
1151,👆⬆️Text you won🎉
1152,Na vila do biscoito
1158,I&#39;m a fan
1167,bro he even got language selection. he hired actual voice actor. this man is simply amazing
1169,"Hi Mrbeats, I&#39;m from Chile. They told me you&#39;re here. I&#39;d love to meet you."
1173,Fc❤ Thailand 🇹🇭
1175,👆⬆️Text you won🎉
1183,I wish you 200 million subscribes
1184,Mr beast come to Mauritius<br>Please please please
1185,Não esqueça de mandar a foto pro meu filho autografada 🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🙏🏼🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🙏🏼🫶
1188,Sus
1197,Hello I&#39;m subscribe you
1202,don&#39;t want to be a burden to my family
1203,don&#39;t want to be a burden to my family
1204,don&#39;t want to be a burden to my family
1205,don&#39;t want to be a burden to my family
1206,don&#39;t want to be a burden to my family
1209,MrBest you RUSS? I&#39;m russ
1211,Mr   Beast
1214,👆⬆️Text you won🎉
1217,انا نفسي في اليفوان
1218,Ты самый лучший ютубер на ютубе в мире !!!  И с этим никто не поспорит!
1231,انت مجنون
1232,wish enjoy your team Mr Beat. You are my dẹt ter ni :))
1233,Good
1234,Mr.beast distroy piedipai
1236,👆⬆️Text you won🎉
1238,بليز مستر بيست رجائاً اريد ان أكون مشارك في تحدياتك
1240,I just want to let you know you&#39;re being closely watched.
1241,My gm recovered so yeah
1254,Eyy That&#39;s Speed
1255,Cooool man
1257,Sao bạn biết đến tiếng việt?
1258,Mr beast
1263,Why are you paying your janitor 1M dollars?
1265,MR BEAST I WANT TO MEET YOU ❤️❤️❤️  COME hERE IN THE PHILIPPINES
1266,Salm ana mottbi3 man maroc
1267,I m coming soon
1269,Ого спасибо команде биста что перевели видос на русский
1273,Gg
1275,You&#39;ve already overtaken Pewdiepie
1276,I have a challenge for you: Stand continuously for 30 days (or) make some people stand continuously for 30 days and reward them(you choose the reward)
1279,Привет из Узбекистана. Хотелось бы поучаствовать в твоих конкурсах😅
1282,Dubbing Indonesia berasa aneh wkwkwk
1284,Who&#39;s dubber in your videos
1286,"good<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>"
1289,Why is it in spanish? I want to hear it in english man
1292,Мистер бист решил отобрать хлеб у а4 и включил переводы видосов на русский? Втф? Как это работает?
1293,MrBeast привет как у тебя дела возможно ты меня не заметишь но заметь меня и ответь на мой вопрос!!!
1294,hi its very good
1298,Я придумал очень хороший челенж  кто после уберёт руку от машины илона маска тот еёо получет
1299,Я люблю тебя мистор бист  ятебя очень часто смотрю  я на тебя подписан
1300,Я из России .Хочу чтобы бист бургер открылся в России
1303,Я русский и смотрю тебя на руском потому что слышу тебя на русском не знаю почему
1308,Come to downtown miami!!!
1309,Audio track par hai hai
1319,نفسي في عربيه
1323,Speed man
1336,I&#39;m Thailand
1337,Speed should win
1338,"Wow congrats, you finally pass Pewdiepie 🎉"
1344,كيف أصبح مستر بيست مشهور
1350,MR BEASt ur mean
1352,"@MrBeast  привет из России, поражаюсь с девушкой вашими видео!! Вы супер!! Лайк от РУ комьюнити"
1354,Hii
1355,Semua orang subscribe mr beast
1358,Quero ver mr beast i na rima com muçulmano no rap
1360,I WANT MR BEAST TO BE MY BROTHER
1361,"How about 30? , congrats inbox me using the above name to claim prize 🎁🎁on DISCORD"
1369,Сытый голодного не поймëт
1374,Hii
1377,Come to WREXHAM AND MAKE SOME CONTENT 🙏🙏🙏🙏🙏
1378,🗿🗿🗿 How russian
1379,Brooo do a challenge something with the titanic
1380,👆⬆️Text you won🎉🎉
1383,Me gustaría competir por una casa😁😉
1387,У вас тоже все на русском?
1389,"This was a good challenge I support the movement, you should come to my city mrbeast"
1390,Hello mrbest! Amazing  film . I want  to See you 😀😃😄😆
1400,Buy a house and throw a million firecrackers on it. Is the house being destroyed?
1405,مستر بيس. اريد منك 10الف دولار لتحقيق احلامي.  ارجوك 😢
1406,مستر بيس. اريد منك 10الف دولار لتحقيق احلامي.  ارجوك 😢
1407,مستر بيس. اريد منك 10الف دولار لتحقيق احلامي.  ارجوك 😢
1408,مستر بيس. اريد منك 10الف دولار لتحقيق احلامي.  ارجوك 😢
1409,مستر بيس. اريد منك 10الف دولار لتحقيق احلامي.  ارجوك 😢
1410,مستر بيس. اريد منك 10الف دولار لتحقيق احلامي.  ارجوك 😢
1411,مستر بيس. اريد منك 10الف دولار لتحقيق احلامي.  ارجوك 😢
1412,مستر بيس. اريد منك 10الف دولار لتحقيق احلامي.  ارجوك 😢
1413,مستر بيس. اريد منك 10الف دولار لتحقيق احلامي.  ارجوك 😢
1414,مستر بيس. اريد منك 10الف دولار لتحقيق احلامي.  ارجوك 😢
1415,مستر بيس. اريد منك 10الف دولار لتحقيق احلامي.  ارجوك 😢
1416,مستر بيس. اريد منك 10الف دولار لتحقيق احلامي.  ارجوك 😢
1418,مستر بيس. اريد منك 10الف دولار لتحقيق احلامي.  ارجوك 😢
1419,مستر بيس. اريد منك 10الف دولار لتحقيق احلامي.  ارجوك 😢
1420,مستر بيس. اريد منك 10الف دولار لتحقيق احلامي.  ارجوك 😢
1425,And mr.beast you so cool
1426,مستر بيس. اريد منك 10الف دولار لتحقيق احلامي.  ارجوك 😢
1428,Hallo mr best<br>Salam dari indonesia
1434,Почему на русском
1435,"mrbeast please use Turkish dubbing in your videos I&#39;ve been watching you for a long time, most of them have dubbing but I&#39;ve finished all your missing videos please"
1439,I think money and fame will destroy you in probably 5-20 years
1440,I want to win Georgia😢
1441,I came here after watching chunkz and speed spending your money 💀🤣🤣🤣
1451,mr beast😂
1463,Оно на русском
1464,👆⬆️Text you won
1480,Congrates on passing pewdipie!
1481,"Please come to my country and make a challenge for me, I&#39;ll be waiting in Indonesia 🗿"
1484,👆⬆️Text you won🎉
1488,👆⬆️Text you won🎉
1494,ok
1500,I want you to make a clip about homeless people. 🙏
1502,poor george
1505,This was too crazy would a guy even gets a baby after watching this?
1506,"Cool challenge huge respect, jetmode waawr waarw waawr"
1511,Hello mr beast
1514,"Не верю, так не бывает"
1515,"Не верю, так не бывает"
1516,I saw ishowspeed
1519,"Please come to south Africa, Gauteng specifi"
1520,I am Thailand
1521,Centrrel want a hot dog
1525,ЧТО
1530,สุดยอดมี ภาษาไทยแล้ว Thai🇹🇭
1532,Take this jet and come to Kolkata 😁
1535,What the its ishowspeed! Is gonna be mrbeast!
1543,Do more tag videos
1553,"@Telegra&#39;m me👉 @Official_Giveaway1 Huh! Really? Wow!<a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>"
1563,مستر بيست انا بحاجة اليك ساعدني في 50 الف دولار
1565,Soy el único que le aparecen los videos en español
1568,Oh wow Mr best
1570,dime dies real
1573,Is all what he is doing real
1576,I russian 2.5m$-150m rub +what113million sub!!!!
1578,@3m0 👺 your roger
1580,Ok
1581,PLZZZ COME TO AUGUSTA
1591,Remember when you busted open your cheek with a Coke versus Coke
1593,Hii
1594,Good morning USA
1599,I am your fan from Thailand. I want to buy your shirt the most.
1614,"Remember, Chris’s name is meat lover"
1622,mr.beast❤️🇵🇭
1625,korean voice thx you
1627,Day 120 of asking mrbeast for a shoutout
1631,เยี่ยมเลย good
1633,LOL SPEED
1634,👉👈🙏 please pin and hurt my comments I am one of your biggest fan
1644,make a 6 week challenge
1645,"<a href=""https://www.youtube.com/watch?v=kX3nB4PpJko&amp;t=13m14s"">13:14</a> Callux, George, Niko. Erm, pretty sure that’s Harry loool"
1654,"Lol <a href=""https://www.youtube.com/watch?v=kX3nB4PpJko&amp;t=13m15s"">13:15</a> they put Callux’s face instead of Harry’s face."
1660,Mr beast latinoamérica está loco 😑
1663,Bueno no ablo ingles pero vale la pena intentarlo
1664,I only believed in Niko. There needs to be a rematch for NIKO
1668,Ve a México
1670,Ve a mexicooooooooooooooooooooolll en tamaulipassssss
1672,Hola mr beast com estas soy tu fan amo todos tus videos y vivo en chile el sentro til til capilla
1687,I’m in china please bring me back to America so I can meet my best friend again
1689,Come meet Conce de Chile
1691,من افضل اليوتيوب
1695,I&#39;m mad at Mr.  Beast
1696,Bulao mujhe
1700,Ur getting canceled on twitter😮
1701,How much do you edit your videos
1702,Mr Beast i subcribed all of your cannels
